Número da contratação;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Código Classe/Grupo;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;Valor Total
"90269/2023";Aprovada;;"BENS - SVS - BOMBA COSTAL";BENS;250110;02/07/2024;30/12/2024;181;"SVS.DEIDT.CGZV";"361/2023";"Médio";1;31/12/2024;Material;4210;EQUIPAMENTOS PARA COMBATE A INCÊNDIO;"3735";"BOMBA COSTAL";246946;"MATERIAL: POLIETILENO, TIPO TANQUE: RÍGIDO, CAPACIDADE: 20, ACIONAMENTO: MANUAL, APLICAÇÃO: COMBATE A INCÊNDIOS FLORESTAIS, CARACTERÍSTICAS ADICIONAIS: BOMBEADOR METÁLICO; ALÇAS DE OMBRO REGULÁVEIS.";"UN";710,0000;10,00000;7.100,0000
"90251/2023";Aprovada;;"SERVIÇO - CONDIF -  Assinatura de licença de Base de Dados técnico-cientif";SERVICOS;250110;03/01/2024;01/07/2024;180;"SAA.CGDI.CODINF";"299/2023";"Baixo";1;01/07/2024;Serviço;612;SERVIÇOS DO COMÉRCIO POR ATACADO PRESTADO POR COMISSÃO OU   POR CONTRATO;"";"";21040;"ASSINATURA - PUBLICAÇÃO INFORMATIZADA";"UN";500.000,0000;1,00000;500.000,0000
"90248/2023";Aprovada;;"SERVIÇO - CGDI CODINF - Suporte técnico de Software Gerenciador de Bibliotecas";CONTRATACOES_TIC;250110;17/10/2023;01/02/2024;107;"SAA.CGDI.CODINF";"293/2023";"Baixo";1;01/02/2024;Serviço;112;SERVIÇOS DE MANUTENÇÃO E SUSTENTAÇÃO DE SOFTWARE;"";"";26000;"SUSTENTAÇÃO DE SOFTWARE";"PFM";3.750,0000;12,00000;45.000,0000
"90247/2023";Aprovada;;"SERVIÇO - DEMAS - Contratação de licenças de softwares";CONTRATACOES_TIC;250110;17/10/2023;28/02/2024;134;"SEIDIGI.DEMAS";"519/2023";"Alto";1;28/02/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27502;"CESSÃO TEMPORÁRIA DE DIREITOS SOBRE PROGRAMAS DE COMPUTADOR LOCAÇÃO DE SOFTWARE";"UN";703.040,0000;1,00000;703.040,0000
"90247/2023";Aprovada;;"SERVIÇO - DEMAS - Contratação de licenças de softwares";CONTRATACOES_TIC;250110;17/10/2023;28/02/2024;134;"SEIDIGI.DEMAS";"519/2023";"Alto";2;28/02/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27502;"CESSÃO TEMPORÁRIA DE DIREITOS SOBRE PROGRAMAS DE COMPUTADOR LOCAÇÃO DE SOFTWARE";"UN";175.968,0000;16,00000;2.815.488,0000
"90247/2023";Aprovada;;"SERVIÇO - DEMAS - Contratação de licenças de softwares";CONTRATACOES_TIC;250110;17/10/2023;28/02/2024;134;"SEIDIGI.DEMAS";"519/2023";"Alto";3;28/02/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27502;"CESSÃO TEMPORÁRIA DE DIREITOS SOBRE PROGRAMAS DE COMPUTADOR LOCAÇÃO DE SOFTWARE";"UN";249.600,0000;1,00000;249.600,0000
"90247/2023";Aprovada;;"SERVIÇO - DEMAS - Contratação de licenças de softwares";CONTRATACOES_TIC;250110;17/10/2023;28/02/2024;134;"SEIDIGI.DEMAS";"519/2023";"Alto";4;28/02/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27502;"CESSÃO TEMPORÁRIA DE DIREITOS SOBRE PROGRAMAS DE COMPUTADOR LOCAÇÃO DE SOFTWARE";"UN";124.800,0000;28,00000;3.494.400,0000
"90247/2023";Aprovada;;"SERVIÇO - DEMAS - Contratação de licenças de softwares";CONTRATACOES_TIC;250110;17/10/2023;28/02/2024;134;"SEIDIGI.DEMAS";"519/2023";"Alto";5;28/02/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27502;"CESSÃO TEMPORÁRIA DE DIREITOS SOBRE PROGRAMAS DE COMPUTADOR LOCAÇÃO DE SOFTWARE";"UN";37.065,6000;6,00000;222.393,6000
"90247/2023";Aprovada;;"SERVIÇO - DEMAS - Contratação de licenças de softwares";CONTRATACOES_TIC;250110;17/10/2023;28/02/2024;134;"SEIDIGI.DEMAS";"519/2023";"Alto";6;28/02/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27502;"CESSÃO TEMPORÁRIA DE DIREITOS SOBRE PROGRAMAS DE COMPUTADOR LOCAÇÃO DE SOFTWARE";"UN";82.368,0000;1,00000;82.368,0000
"90247/2023";Aprovada;;"SERVIÇO - DEMAS - Contratação de licenças de softwares";CONTRATACOES_TIC;250110;17/10/2023;28/02/2024;134;"SEIDIGI.DEMAS";"519/2023";"Alto";7;28/02/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27510;"CONTRATOS DE  PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA TÉCNICA ECIENTÍFICA";"UN";1.200,0000;125,00000;150.000,0000
"90247/2023";Aprovada;;"SERVIÇO - DEMAS - Contratação de licenças de softwares";CONTRATACOES_TIC;250110;17/10/2023;28/02/2024;134;"SEIDIGI.DEMAS";"519/2023";"Alto";8;28/02/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27510;"CONTRATOS DE  PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA TÉCNICA ECIENTÍFICA";"UN";22.000,0000;8,00000;176.000,0000
"90228/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.CACRIAD - AIDPI - Manual de Quadros";SERVICOS;250110;01/09/2023;01/03/2024;182;"SAPS.DGCI. CGCRIAJ";"335/2023";"Médio";1;01/03/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";15,0000;1.000,00000;15.000,0000
"90227/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.CACRIAD - CDC - Manual do multiplicador";SERVICOS;250110;01/09/2023;01/03/2024;182;"SAPS.DGCI. CGCRIAJ";"336/2023";"Médio";1;01/03/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";7,0000;1.000,00000;7.000,0000
"90226/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.CACRIAD - CDC - Manual Participante";SERVICOS;250110;01/09/2023;01/03/2024;182;"SAPS.DGCI. CGCRIAJ";"337/2023";"Médio";1;01/03/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";7,0000;1.000,00000;7.000,0000
"90215/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.CACRIAD -  documento atendimento de Consulta Adolescente e jovem (Manual)";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAPS.DGCI. CGCRIAJ";"357/2023";"Médio";1;30/12/2024;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"UN";8,0000;30.000,00000;240.000,0000
"90208/2023";Aprovada;Preparação;"SERVIÇO - CGENG - bastecimento de água potável e serviços de esgotamento sanitário, nas dependências";SERVICOS;250110;03/11/2023;01/05/2024;180;"SAA.CGENG";"180/2023";"Alto";1;01/05/2024;Serviço;692;SERVIÇOS DE DISTRIBUIÇÃO DE ÁGUA ATRAVÉS DE TUBULAÇÃO;"";"";22845;"FORNECIMENTO DE ÁGUA E COLETA DE ESGOTO SANITÁRIO";"UN";218.358,8300;12,00000;2.620.305,9600
"90200/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COSMU - Recomendações sobre atenção ginecológica, climatério e menopausa";SERVICOS;250110;01/09/2023;01/03/2024;182;"SAPS.DGCI.CGESMU";"312/2023";"Médio";1;03/03/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";10138;"EDITORAÇÃO";"UN";8,0000;200.000,00000;1.600.000,0000
"90198/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COSMU -Cartilha para o cuidado e prevenção aos problemas de saúde mulheres";SERVICOS;250110;07/07/2023;03/01/2024;180;"SAPS.DGCI.CGESMU";"319/2023";"Médio";1;03/01/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";10138;"EDITORAÇÃO";"UN";3,0000;100.000,00000;300.000,0000
"90195/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COSMU - Manual para gestor e Guia para Profissionais de Saúde da APS ";SERVICOS;250110;01/09/2023;01/03/2024;182;"SAPS.DGCI.CGESMU";"326/2023";"Médio";1;03/03/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";10138;"EDITORAÇÃO";"UN";9,6000;50.000,00000;480.000,0000
"90191/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI - Livro Laboratório de Inovação em Saúde 2ª edição (LIS-PICS)";SERVICOS;250110;03/11/2023;01/05/2024;180;"SAPS.DGCI";"341/2023";"Médio";1;01/05/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";10138;"EDITORAÇÃO";"UN";50,0000;10.000,00000;500.000,0000
